	53	78	80	100	105
0	0.245762711864	0.262711864407	0.277643260694	0.213882163035	0.0
1	0.0169491525424	0.0169491525424	0.0677966101695	0.220338983051	0.677966101695
2	0.0	0.0	0.0	0.5	0.5
3	0.0124416796267	0.0124416796267	0.00311041990669	0.0326594090202	0.93934681182
4	0.0	0.111111111111	0.0	0.222222222222	0.666666666667
5	0.0	0.0625	0.0625	0.21875	0.65625
6	0.184971098266	0.208092485549	0.028901734104	0.578034682081	0.0
7	0.166666666667	0.0	0.0	0.333333333333	0.5
8	0.0	0.0	0.0	0.571428571429	0.428571428571
9	0.0	0.0	0.0	0.214285714286	0.785714285714
